octal_div([train(6641)], [train(34757)], 11).
octal_div([train(48298)], [train(40024)], 7).
octal_div([train(1183)], [train(17035)], 2).
octal_div([train(21954)], [train(33745)], 0).
octal_div([train(27758)], [train(28982)], 1).
octal_div([train(9599)], [train(11440)], 1).
octal_div([train(26435)], [train(23505)], 4).
octal_div([train(16507)], [train(46967)], 1).
octal_div([train(23062)], [train(53262)], 3).
octal_div([train(11140)], [train(34158)], 6).
octal_div([train(2671)], [train(5123)], 3).
octal_div([train(31063)], [train(11895)], 2).
octal_div([train(18335)], [train(21287)], 2).
octal_div([train(18119)], [train(51671)], 3).
octal_div([train(994)], [train(18402)], 1).
octal_div([train(10948)], [train(33938)], 4).
octal_div([train(26517)], [train(28378)], 5).
octal_div([train(12299)], [train(35761)], 2).
octal_div([train(32817)], [train(43935)], 3).
octal_div([train(15197)], [train(20044)], 1).
octal_div([train(11162)], [train(12060)], 0).
octal_div([train(28847)], [train(2788)], 2).
octal_div([train(57014)], [train(46705)], 1).
octal_div([train(17119)], [train(25432)], 1).
octal_div([train(26900)], [train(43256)], 2).
octal_div([train(29611)], [train(58685)], 2).
octal_div([train(48458)], [train(36117)], 1).
octal_div([train(3632)], [train(3433)], 0).
octal_div([train(17690)], [train(20045)], 4).
octal_div([train(58934)], [train(11650)], 0).
octal_div([train(2773)], [train(45131)], 4).
octal_div([train(28667)], [train(14517)], 0).
octal_div([train(24946)], [train(26833)], 1).
octal_div([train(57124)], [train(6488)], 5).
octal_div([train(21213)], [train(23910)], 11).
octal_div([train(1882)], [train(21555)], 11).
octal_div([train(37262)], [train(2799)], 1).
octal_div([train(16413)], [train(50772)], 11).
octal_div([train(9123)], [train(45225)], 1).
octal_div([train(58651)], [train(43615)], 2).
octal_div([train(18945)], [train(20932)], 2).
octal_div([train(36905)], [train(38769)], 6).
octal_div([train(28702)], [train(48040)], 6).
octal_div([train(16822)], [train(51896)], 2).
octal_div([train(52962)], [train(39988)], 5).
octal_div([train(31571)], [train(4334)], 1).
octal_div([train(57034)], [train(31386)], 0).
octal_div([train(31182)], [train(19053)], 4).
octal_div([train(41152)], [train(58540)], 1).
octal_div([train(18504)], [train(7637)], 1).
octal_div([train(21827)], [train(25858)], 11).
octal_div([train(14039)], [train(47873)], 0).
octal_div([train(14628)], [train(28090)], 5).
octal_div([train(13228)], [train(58051)], 3).
octal_div([train(49450)], [train(34701)], 1).
octal_div([train(30358)], [train(34834)], 1).
octal_div([train(8879)], [train(35794)], 1).
octal_div([train(28396)], [train(45666)], 11).
octal_div([train(48708)], [train(43801)], 11).
octal_div([train(4325)], [train(45776)], 0).
octal_div([train(35192)], [train(59986)], 0).
octal_div([train(23364)], [train(20446)], 1).
octal_div([train(17700)], [train(18886)], 10).
octal_div([train(28093)], [train(34777)], 10).
octal_div([train(23959)], [train(11868)], 6).
octal_div([train(3318)], [train(20903)], 1).
octal_div([train(18914)], [train(3695)], 0).
octal_div([train(54235)], [train(35061)], 0).
octal_div([train(49872)], [train(26593)], 0).
octal_div([train(41315)], [train(4993)], 0).
octal_div([train(18400)], [train(39465)], 1).
octal_div([train(31678)], [train(21401)], 7).
octal_div([train(26036)], [train(44306)], 10).
octal_div([train(37519)], [train(55769)], 2).
octal_div([train(59396)], [train(27063)], 2).
octal_div([train(45566)], [train(9271)], 3).
octal_div([train(37790)], [train(2751)], 0).
octal_div([train(29859)], [train(28822)], 7).
octal_div([train(46398)], [train(30394)], 0).
octal_div([train(7581)], [train(50982)], 2).
octal_div([train(44833)], [train(9821)], 2).
octal_div([train(8929)], [train(52751)], 2).
octal_div([train(58725)], [train(29964)], 1).
octal_div([train(55414)], [train(396)], 1).
octal_div([train(16985)], [train(26182)], 4).
octal_div([train(46545)], [train(16462)], 3).
octal_div([train(45775)], [train(59506)], 1).
octal_div([train(34340)], [train(56309)], 1).
octal_div([train(5761)], [train(4696)], 7).
octal_div([train(45021)], [train(52484)], 0).
octal_div([train(2914)], [train(55237)], 0).
octal_div([train(2212)], [train(40927)], 1).
octal_div([train(22603)], [train(22591)], 0).
octal_div([train(29411)], [train(106)], 1).
octal_div([train(23983)], [train(45921)], 6).
octal_div([train(4859)], [train(53577)], 10).
octal_div([train(17064)], [train(54704)], 0).
octal_div([train(8273)], [train(39034)], 0).
octal_div([train(47769)], [train(18947)], 1).
octal_div([train(24736)], [train(21944)], 11).
octal_div([train(51308)], [train(34444)], 0).
octal_div([train(7672)], [train(12145)], 3).
octal_div([train(28190)], [train(24543)], 1).
octal_div([train(35400)], [train(28807)], 0).
octal_div([train(20858)], [train(17944)], 2).
octal_div([train(15896)], [train(59369)], 1).
octal_div([train(37028)], [train(32658)], 1).
octal_div([train(42703)], [train(35846)], 0).
octal_div([train(11880)], [train(38136)], 1).
octal_div([train(2617)], [train(6982)], 0).
octal_div([train(32962)], [train(35265)], 1).
octal_div([train(58452)], [train(42586)], 2).
octal_div([train(44628)], [train(21479)], 1).
octal_div([train(38469)], [train(59628)], 1).
octal_div([train(23025)], [train(49598)], 1).
octal_div([train(52026)], [train(10277)], 1).
octal_div([train(38497)], [train(15521)], 0).
octal_div([train(58170)], [train(57001)], 0).
octal_div([train(16749)], [train(59971)], 0).
octal_div([train(10854)], [train(36744)], 4).
octal_div([train(47345)], [train(38991)], 3).
octal_div([train(50534)], [train(7746)], 0).
octal_div([train(12472)], [train(25459)], 2).
octal_div([train(17479)], [train(6778)], 0).
octal_div([train(2365)], [train(36048)], 2).
octal_div([train(47372)], [train(13605)], 0).
octal_div([train(9967)], [train(43857)], 1).
octal_div([train(32858)], [train(55460)], 0).
octal_div([train(41459)], [train(11395)], 6).
octal_div([train(37647)], [train(31316)], 0).
octal_div([train(39456)], [train(58831)], 4).
octal_div([train(36540)], [train(44898)], 2).
octal_div([train(50240)], [train(14167)], 0).
octal_div([train(53277)], [train(20829)], 6).
octal_div([train(38597)], [train(23879)], 3).
octal_div([train(34490)], [train(32230)], 1).
octal_div([train(19197)], [train(6150)], 1).
octal_div([train(51755)], [train(6021)], 6).
octal_div([train(26260)], [train(55144)], 0).
octal_div([train(38114)], [train(55653)], 3).
octal_div([train(25322)], [train(47502)], 1).
octal_div([train(47155)], [train(58538)], 1).
octal_div([train(13560)], [train(17781)], 1).
octal_div([train(41137)], [train(30104)], 0).
octal_div([train(7105)], [train(29125)], 1).
octal_div([train(36776)], [train(32824)], 10).
octal_div([train(21128)], [train(37639)], 1).
octal_div([train(29311)], [train(14791)], 0).
octal_div([train(28466)], [train(7596)], 0).
octal_div([train(13313)], [train(8422)], 2).
octal_div([train(34602)], [train(45516)], 5).
octal_div([train(25399)], [train(21552)], 0).
octal_div([train(34314)], [train(36085)], 7).
octal_div([train(37932)], [train(4788)], 1).
octal_div([train(45746)], [train(32315)], 10).
octal_div([train(55773)], [train(26444)], 4).
octal_div([train(41682)], [train(8062)], 1).
octal_div([train(35755)], [train(57374)], 1).
octal_div([train(41352)], [train(59460)], 0).
octal_div([train(31455)], [train(7834)], 5).
octal_div([train(42732)], [train(25979)], 0).
octal_div([train(48772)], [train(42401)], 6).
octal_div([train(49818)], [train(44198)], 7).
octal_div([train(2406)], [train(10075)], 2).
octal_div([train(6504)], [train(15002)], 5).
octal_div([train(41631)], [train(13332)], 2).
octal_div([train(55045)], [train(31981)], 0).
octal_div([train(35540)], [train(44809)], 1).
octal_div([train(59659)], [train(34160)], 0).
octal_div([train(54163)], [train(48277)], 4).
octal_div([train(9411)], [train(3171)], 1).
octal_div([train(47370)], [train(24454)], 0).
octal_div([train(25280)], [train(51063)], 3).
octal_div([train(36109)], [train(49771)], 3).
octal_div([train(41787)], [train(46803)], 3).
octal_div([train(23512)], [train(46773)], 1).
octal_div([train(45231)], [train(23017)], 1).
octal_div([train(41559)], [train(26445)], 1).
octal_div([train(16868)], [train(39700)], 0).
octal_div([train(25334)], [train(54611)], 4).
octal_div([train(23149)], [train(12049)], 7).
octal_div([train(22669)], [train(16762)], 0).
octal_div([train(2709)], [train(51398)], 0).
octal_div([train(27829)], [train(45408)], 0).
octal_div([train(59730)], [train(36821)], 0).
octal_div([train(28099)], [train(22735)], 1).
octal_div([train(35695)], [train(39359)], 3).
octal_div([train(34553)], [train(11176)], 0).
octal_div([train(4938)], [train(21794)], 2).
octal_div([train(6577)], [train(42178)], 3).
octal_div([train(35340)], [train(50493)], 2).
octal_div([train(4834)], [train(12633)], 1).
octal_div([train(43561)], [train(308)], 0).
octal_div([train(47693)], [train(31181)], 0).
octal_div([train(53005)], [train(22785)], 6).
octal_div([train(46456)], [train(7720)], 4).
octal_div([train(30965)], [train(39806)], 0).
octal_div([train(23329)], [train(59854)], 11).
octal_div([train(14185)], [train(17182)], 1).
octal_div([train(19004)], [train(31434)], 0).
octal_div([train(29890)], [train(27933)], 5).
octal_div([train(46775)], [train(15595)], 0).
octal_div([train(33147)], [train(23128)], 1).
octal_div([train(11299)], [train(38311)], 2).
octal_div([train(52685)], [train(3764)], 1).
octal_div([train(28888)], [train(24637)], 0).
octal_div([train(9851)], [train(53382)], 1).
octal_div([train(1677)], [train(30304)], 1).
octal_div([train(15581)], [train(23661)], 0).
octal_div([train(18538)], [train(31291)], 0).
octal_div([train(49932)], [train(43017)], 1).
octal_div([train(19061)], [train(12698)], 0).
octal_div([train(16953)], [train(58662)], 11).
octal_div([train(8494)], [train(4502)], 3).
octal_div([train(9869)], [train(42526)], 0).
octal_div([train(28222)], [train(9517)], 1).
octal_div([train(10478)], [train(48224)], 1).
octal_div([train(49029)], [train(44339)], 2).
octal_div([train(55481)], [train(32652)], 0).
octal_div([train(49389)], [train(3397)], 0).
octal_div([train(7012)], [train(9581)], 0).
octal_div([train(25411)], [train(53992)], 1).
octal_div([train(36937)], [train(11160)], 0).
octal_div([train(49056)], [train(29033)], 7).
octal_div([train(7717)], [train(43141)], 1).
octal_div([train(25005)], [train(8706)], 0).
octal_div([train(5497)], [train(48352)], 1).
octal_div([train(47386)], [train(39477)], 0).
octal_div([train(49422)], [train(53653)], 1).
octal_div([train(36619)], [train(5789)], 4).
octal_div([train(6406)], [train(13840)], 0).
octal_div([train(28188)], [train(22124)], 4).
octal_div([train(50989)], [train(16012)], 3).
octal_div([train(7356)], [train(49768)], 10).
octal_div([train(59695)], [train(47261)], 1).
octal_div([train(14537)], [train(21822)], 1).
octal_div([train(36181)], [train(43330)], 3).
octal_div([train(51933)], [train(47680)], 2).
octal_div([train(7448)], [train(33577)], 5).
octal_div([train(22674)], [train(23612)], 3).
octal_div([train(39935)], [train(349)], 0).
octal_div([train(35746)], [train(23789)], 0).
octal_div([train(34981)], [train(3729)], 7).
octal_div([train(34363)], [train(9734)], 3).
octal_div([train(28553)], [train(34587)], 3).
octal_div([train(59320)], [train(17063)], 2).
octal_div([train(47632)], [train(32530)], 10).
octal_div([train(12131)], [train(15881)], 1).
octal_div([train(6541)], [train(48076)], 2).
octal_div([train(49027)], [train(2150)], 0).
octal_div([train(43511)], [train(4287)], 1).
octal_div([train(33991)], [train(42710)], 1).
octal_div([train(1590)], [train(635)], 0).
octal_div([train(36243)], [train(35554)], 4).
octal_div([train(3892)], [train(21556)], 1).
octal_div([train(17687)], [train(3599)], 1).
octal_div([train(18672)], [train(11883)], 6).
octal_div([train(22040)], [train(42298)], 0).
octal_div([train(12179)], [train(613)], 3).
octal_div([train(55874)], [train(1259)], 3).
octal_div([train(53138)], [train(23885)], 2).
octal_div([train(12465)], [train(51396)], 1).
octal_div([train(11002)], [train(50025)], 1).
octal_div([train(29131)], [train(30765)], 2).
octal_div([train(3277)], [train(45076)], 11).
octal_div([train(21560)], [train(54294)], 0).
octal_div([train(50992)], [train(48126)], 7).
octal_div([train(46387)], [train(23316)], 1).
octal_div([train(59137)], [train(14651)], 3).
octal_div([train(12866)], [train(40598)], 3).
octal_div([train(25783)], [train(59713)], 0).
octal_div([train(25635)], [train(15328)], 2).
octal_div([train(21046)], [train(57617)], 1).
octal_div([train(15757)], [train(15650)], 4).
octal_div([train(29616)], [train(6407)], 1).
octal_div([train(5024)], [train(35270)], 11).
octal_div([train(33406)], [train(42544)], 1).
octal_div([train(2897)], [train(5538)], 0).
octal_div([train(40108)], [train(43747)], 0).
octal_div([train(46154)], [train(53348)], 10).
octal_div([train(17513)], [train(23984)], 7).
octal_div([train(1552)], [train(13472)], 1).
octal_div([train(380)], [train(28568)], 4).
octal_div([train(57700)], [train(26851)], 0).
octal_div([train(12127)], [train(9081)], 1).
octal_div([train(24897)], [train(18942)], 2).
octal_div([train(29060)], [train(5221)], 2).
octal_div([train(48855)], [train(57934)], 2).
octal_div([train(4265)], [train(59534)], 0).
octal_div([train(2815)], [train(43438)], 3).
octal_div([train(240)], [train(16127)], 2).
octal_div([train(15913)], [train(55126)], 1).
octal_div([train(46612)], [train(58723)], 1).
octal_div([train(54172)], [train(23242)], 2).
octal_div([train(13104)], [train(36726)], 1).
octal_div([train(56109)], [train(43836)], 7).
octal_div([train(43726)], [train(45262)], 1).
octal_div([train(44880)], [train(29514)], 10).
octal_div([train(41962)], [train(50206)], 3).
octal_div([train(13054)], [train(54344)], 0).
octal_div([train(34178)], [train(49909)], 1).
octal_div([train(32364)], [train(22588)], 1).
octal_div([train(59159)], [train(17590)], 1).
octal_div([train(31141)], [train(13728)], 1).
octal_div([train(1628)], [train(27001)], 1).
octal_div([train(9708)], [train(32767)], 1).
octal_div([train(59195)], [train(15651)], 1).
octal_div([train(39369)], [train(58940)], 1).
octal_div([train(17808)], [train(2407)], 2).
octal_div([train(23478)], [train(54299)], 2).
octal_div([train(5683)], [train(17192)], 1).
octal_div([train(14656)], [train(52777)], 1).
octal_div([train(44340)], [train(39842)], 1).
octal_div([train(20743)], [train(39437)], 10).
octal_div([train(51897)], [train(21905)], 10).
octal_div([train(18645)], [train(11306)], 0).
octal_div([train(7248)], [train(33346)], 1).
octal_div([train(58229)], [train(704)], 0).
octal_div([train(13038)], [train(48537)], 2).
octal_div([train(23389)], [train(25831)], 0).
octal_div([train(12293)], [train(10741)], 7).
octal_div([train(59331)], [train(42566)], 0).
octal_div([train(32097)], [train(35122)], 0).
octal_div([train(40794)], [train(46327)], 1).
octal_div([train(18828)], [train(47977)], 11).
octal_div([train(6968)], [train(49682)], 0).
octal_div([train(55811)], [train(49881)], 2).
octal_div([train(47500)], [train(58211)], 1).
octal_div([train(59848)], [train(26130)], 2).
octal_div([train(15035)], [train(3627)], 2).
octal_div([train(14083)], [train(36995)], 6).
octal_div([train(7158)], [train(16632)], 0).
octal_div([train(21246)], [train(26652)], 1).
octal_div([train(15815)], [train(42565)], 1).
octal_div([train(59934)], [train(43670)], 0).
octal_div([train(58099)], [train(58177)], 1).
octal_div([train(2814)], [train(49134)], 7).
octal_div([train(12401)], [train(15163)], 2).
octal_div([train(9239)], [train(9266)], 3).
octal_div([train(31604)], [train(45372)], 0).
octal_div([train(31613)], [train(6236)], 1).
octal_div([train(53769)], [train(19870)], 1).
octal_div([train(57439)], [train(56213)], 1).
octal_div([train(59962)], [train(5376)], 1).
octal_div([train(13437)], [train(37383)], 3).
octal_div([train(2144)], [train(47045)], 0).
octal_div([train(536)], [train(38721)], 1).
octal_div([train(28249)], [train(18687)], 2).
octal_div([train(8407)], [train(38083)], 2).
octal_div([train(53851)], [train(29524)], 0).
octal_div([train(24277)], [train(7176)], 6).
octal_div([train(51286)], [train(5812)], 0).
octal_div([train(717)], [train(50225)], 4).
octal_div([train(4021)], [train(58253)], 10).
octal_div([train(51374)], [train(56276)], 1).
octal_div([train(51121)], [train(10782)], 0).
octal_div([train(42291)], [train(21406)], 1).
octal_div([train(11538)], [train(15899)], 1).
octal_div([train(27544)], [train(6996)], 0).
octal_div([train(21508)], [train(7960)], 0).
octal_div([train(40829)], [train(59430)], 0).
octal_div([train(51969)], [train(2665)], 2).
octal_div([train(20170)], [train(25955)], 3).
octal_div([train(22385)], [train(3)], 6).
octal_div([train(44336)], [train(19093)], 6).
octal_div([train(58580)], [train(56117)], 1).
octal_div([train(44402)], [train(33965)], 11).
octal_div([train(2581)], [train(58404)], 0).
octal_div([train(7734)], [train(3723)], 4).
octal_div([train(9690)], [train(36033)], 5).
octal_div([train(131)], [train(57442)], 2).
octal_div([train(55453)], [train(10878)], 5).
octal_div([train(17344)], [train(51811)], 2).
octal_div([train(51159)], [train(16109)], 3).
octal_div([train(38737)], [train(12064)], 1).
octal_div([train(29605)], [train(42849)], 7).
octal_div([train(31567)], [train(30324)], 0).
octal_div([train(51365)], [train(35324)], 0).
octal_div([train(26007)], [train(59046)], 0).
octal_div([train(46460)], [train(58730)], 1).
octal_div([train(39732)], [train(55062)], 3).
octal_div([train(2495)], [train(13974)], 1).
octal_div([train(25311)], [train(54027)], 3).
octal_div([train(37987)], [train(42897)], 1).
octal_div([train(38035)], [train(36383)], 0).
octal_div([train(51834)], [train(43678)], 0).
octal_div([train(13746)], [train(56285)], 1).
octal_div([train(927)], [train(13760)], 0).
octal_div([train(32250)], [train(4208)], 1).
octal_div([train(58848)], [train(28514)], 1).
octal_div([train(31385)], [train(20393)], 7).
octal_div([train(5452)], [train(24904)], 5).
octal_div([train(37228)], [train(31973)], 3).
octal_div([train(27431)], [train(34826)], 5).
octal_div([train(7044)], [train(57243)], 5).
octal_div([train(58639)], [train(26215)], 1).
octal_div([train(25481)], [train(21697)], 7).
octal_div([train(56254)], [train(47114)], 4).
octal_div([train(34825)], [train(16907)], 7).
octal_div([train(6366)], [train(48629)], 1).
octal_div([train(14073)], [train(53227)], 1).
octal_div([train(24391)], [train(24090)], 4).
octal_div([train(52221)], [train(8860)], 0).
octal_div([train(42332)], [train(6318)], 1).
octal_div([train(54431)], [train(21882)], 1).
octal_div([train(58488)], [train(38854)], 1).
octal_div([train(36358)], [train(33666)], 3).
octal_div([train(12800)], [train(177)], 5).
octal_div([train(40034)], [train(20400)], 2).
octal_div([train(13957)], [train(6447)], 1).
octal_div([train(12123)], [train(8633)], 7).
octal_div([train(33945)], [train(9663)], 0).
octal_div([train(20826)], [train(39143)], 3).
octal_div([train(19729)], [train(39033)], 11).
octal_div([train(35117)], [train(2762)], 5).
octal_div([train(30157)], [train(37083)], 3).
octal_div([train(13830)], [train(22935)], 0).
octal_div([train(1356)], [train(26268)], 5).
octal_div([train(52125)], [train(51836)], 6).
octal_div([train(9306)], [train(40692)], 11).
octal_div([train(8947)], [train(59872)], 6).
octal_div([train(21800)], [train(15810)], 0).
octal_div([train(817)], [train(17675)], 1).
octal_div([train(27130)], [train(9420)], 3).
octal_div([train(29345)], [train(13782)], 0).
octal_div([train(8518)], [train(4073)], 3).
octal_div([train(21279)], [train(56155)], 0).
octal_div([train(13546)], [train(37132)], 2).
octal_div([train(32407)], [train(30654)], 1).
octal_div([train(11226)], [train(21522)], 3).
octal_div([train(8752)], [train(45094)], 1).
octal_div([train(34750)], [train(45631)], 2).
octal_div([train(33789)], [train(27520)], 0).
octal_div([train(28593)], [train(8789)], 0).
octal_div([train(47323)], [train(41114)], 1).
octal_div([train(13757)], [train(3662)], 1).
octal_div([train(59690)], [train(15958)], 2).
octal_div([train(19378)], [train(53273)], 4).
octal_div([train(14675)], [train(39139)], 0).
octal_div([train(45788)], [train(15279)], 2).
octal_div([train(13155)], [train(2688)], 0).
octal_div([train(56658)], [train(16265)], 5).
octal_div([train(21945)], [train(31851)], 0).
octal_div([train(5007)], [train(43447)], 0).
octal_div([train(41343)], [train(8989)], 3).
octal_div([train(2231)], [train(41758)], 1).
octal_div([train(40745)], [train(32933)], 1).
octal_div([train(26901)], [train(51112)], 5).
octal_div([train(46543)], [train(14118)], 1).
octal_div([train(957)], [train(45091)], 0).
octal_div([train(37642)], [train(29534)], 0).
octal_div([train(16530)], [train(46403)], 1).
octal_div([train(36064)], [train(32632)], 2).
octal_div([train(50990)], [train(37771)], 0).
octal_div([train(48895)], [train(18955)], 0).
octal_div([train(55861)], [train(12544)], 2).
octal_div([train(32127)], [train(33435)], 4).
octal_div([train(40613)], [train(34903)], 0).
octal_div([train(30510)], [train(46643)], 2).
octal_div([train(29612)], [train(22828)], 2).
octal_div([train(27842)], [train(250)], 2).
octal_div([train(35217)], [train(5814)], 0).
octal_div([train(33336)], [train(4944)], 11).
octal_div([train(55077)], [train(21410)], 1).
octal_div([train(706)], [train(53343)], 2).
octal_div([train(40499)], [train(59207)], 11).
octal_div([train(2975)], [train(20893)], 0).
octal_div([train(5217)], [train(37366)], 1).
octal_div([train(49835)], [train(11098)], 0).
octal_div([train(24795)], [train(12991)], 1).
octal_div([train(22750)], [train(56355)], 2).
octal_div([train(13752)], [train(23854)], 11).
octal_div([train(23424)], [train(23417)], 5).
octal_div([train(51639)], [train(53927)], 1).
octal_div([train(6325)], [train(38811)], 0).
octal_div([train(8775)], [train(3540)], 4).
octal_div([train(41856)], [train(55585)], 0).
octal_div([train(47740)], [train(30972)], 0).
octal_div([train(2367)], [train(833)], 7).
octal_div([train(30404)], [train(7860)], 1).
octal_div([train(50272)], [train(22139)], 4).
octal_div([train(16043)], [train(14429)], 0).
octal_div([train(56004)], [train(52567)], 1).
octal_div([train(48496)], [train(30933)], 1).
octal_div([train(50905)], [train(25339)], 1).
octal_div([train(46673)], [train(12067)], 1).
octal_div([train(50808)], [train(9029)], 0).
octal_div([train(20449)], [train(40796)], 7).
octal_div([train(5559)], [train(34333)], 3).
octal_div([train(5113)], [train(22621)], 2).
octal_div([train(5233)], [train(18705)], 11).
octal_div([train(12023)], [train(14400)], 1).
octal_div([train(45610)], [train(58198)], 3).
octal_div([train(11851)], [train(50644)], 0).
octal_div([train(56899)], [train(51249)], 6).
octal_div([train(55241)], [train(54588)], 2).
octal_div([train(51716)], [train(48281)], 3).
octal_div([train(10958)], [train(59180)], 1).
octal_div([train(52565)], [train(29670)], 1).
octal_div([train(22679)], [train(36330)], 1).
octal_div([train(55113)], [train(45499)], 7).
octal_div([train(8580)], [train(56590)], 2).
octal_div([train(30290)], [train(45374)], 1).
octal_div([train(24909)], [train(1920)], 4).
octal_div([train(33489)], [train(27821)], 2).
octal_div([train(22855)], [train(25706)], 1).
octal_div([train(33393)], [train(25822)], 7).
octal_div([train(28846)], [train(56764)], 5).
octal_div([train(18795)], [train(55193)], 4).
octal_div([train(9510)], [train(40315)], 7).
octal_div([train(19286)], [train(56758)], 1).
octal_div([train(6133)], [train(47823)], 0).
octal_div([train(33727)], [train(49357)], 2).
octal_div([train(32575)], [train(3338)], 0).
octal_div([train(44741)], [train(59149)], 11).
octal_div([train(57543)], [train(56771)], 0).
octal_div([train(43727)], [train(30036)], 0).
octal_div([train(22506)], [train(55500)], 5).
octal_div([train(32830)], [train(18972)], 2).
octal_div([train(36494)], [train(55417)], 4).
octal_div([train(41096)], [train(40569)], 2).
octal_div([train(15403)], [train(31662)], 1).
octal_div([train(32300)], [train(48797)], 10).
octal_div([train(48029)], [train(47710)], 1).
octal_div([train(37140)], [train(10224)], 1).
octal_div([train(19450)], [train(16904)], 2).
octal_div([train(35245)], [train(9012)], 11).
octal_div([train(22731)], [train(18585)], 1).
octal_div([train(50810)], [train(57198)], 1).
octal_div([train(47371)], [train(44882)], 0).
octal_div([train(59284)], [train(19626)], 6).
octal_div([train(44532)], [train(1118)], 10).
octal_div([train(38411)], [train(51117)], 0).
octal_div([train(56606)], [train(1385)], 0).
octal_div([train(30088)], [train(6871)], 0).
octal_div([train(35050)], [train(38002)], 0).
octal_div([train(37123)], [train(24635)], 3).
octal_div([train(36579)], [train(46307)], 1).
octal_div([train(1027)], [train(10387)], 1).
octal_div([train(1348)], [train(12845)], 3).
octal_div([train(53937)], [train(424)], 0).
octal_div([train(46795)], [train(20672)], 4).
octal_div([train(49644)], [train(38713)], 7).
octal_div([train(23569)], [train(18318)], 3).
octal_div([train(9478)], [train(21784)], 0).
octal_div([train(17964)], [train(34796)], 1).
octal_div([train(47611)], [train(59598)], 2).
octal_div([train(2821)], [train(32239)], 1).
octal_div([train(38584)], [train(6863)], 2).
octal_div([train(23904)], [train(29088)], 4).
octal_div([train(16326)], [train(4327)], 0).
octal_div([train(26945)], [train(7961)], 1).
octal_div([train(8759)], [train(6017)], 1).
octal_div([train(19682)], [train(58409)], 0).
octal_div([train(14773)], [train(25614)], 0).
octal_div([train(57325)], [train(36152)], 1).
octal_div([train(50597)], [train(56731)], 1).
octal_div([train(55833)], [train(59920)], 1).
octal_div([train(641)], [train(34659)], 3).
octal_div([train(930)], [train(45266)], 3).
octal_div([train(51416)], [train(2414)], 1).
octal_div([train(42285)], [train(42644)], 11).
octal_div([train(16041)], [train(26687)], 7).
octal_div([train(58448)], [train(54909)], 1).
octal_div([train(28923)], [train(57419)], 0).
octal_div([train(51498)], [train(34270)], 1).
octal_div([train(33043)], [train(43909)], 0).
octal_div([train(6796)], [train(44770)], 6).
octal_div([train(8284)], [train(52201)], 0).
octal_div([train(54425)], [train(23826)], 3).
octal_div([train(38501)], [train(13791)], 0).
octal_div([train(40117)], [train(1654)], 7).
octal_div([train(32898)], [train(50896)], 1).
octal_div([train(138)], [train(23226)], 1).
octal_div([train(25657)], [train(47590)], 4).
octal_div([train(50390)], [train(55438)], 0).
octal_div([train(36767)], [train(59554)], 1).
octal_div([train(703)], [train(48721)], 1).
octal_div([train(29055)], [train(28919)], 0).
octal_div([train(43832)], [train(19936)], 1).
octal_div([train(51501)], [train(30509)], 10).
octal_div([train(14282)], [train(25309)], 0).
octal_div([train(7499)], [train(5871)], 0).
octal_div([train(1695)], [train(3063)], 1).
octal_div([train(24994)], [train(56107)], 1).
octal_div([train(10196)], [train(2846)], 2).
octal_div([train(47552)], [train(33801)], 0).
octal_div([train(6758)], [train(13091)], 0).
octal_div([train(45828)], [train(27025)], 11).
octal_div([train(37470)], [train(46913)], 3).
octal_div([train(48128)], [train(39719)], 0).
octal_div([train(6614)], [train(27093)], 0).
octal_div([train(20117)], [train(4573)], 0).
octal_div([train(37867)], [train(26730)], 1).
octal_div([train(45997)], [train(29015)], 0).
octal_div([train(30594)], [train(2260)], 2).
octal_div([train(39361)], [train(55832)], 4).
octal_div([train(31635)], [train(45186)], 2).
octal_div([train(4562)], [train(29555)], 1).
octal_div([train(34664)], [train(12883)], 2).
octal_div([train(49788)], [train(40567)], 1).
octal_div([train(8181)], [train(8987)], 10).
octal_div([train(9468)], [train(10570)], 3).
octal_div([train(46832)], [train(33556)], 7).
octal_div([train(19792)], [train(11081)], 4).
octal_div([train(14723)], [train(3007)], 0).
octal_div([train(42634)], [train(5392)], 0).
octal_div([train(45288)], [train(33453)], 0).
octal_div([train(33646)], [train(54485)], 1).
octal_div([train(4210)], [train(2977)], 6).
octal_div([train(20080)], [train(39099)], 1).
octal_div([train(19780)], [train(17683)], 1).
octal_div([train(34567)], [train(38317)], 10).
octal_div([train(32846)], [train(10632)], 0).
octal_div([train(59700)], [train(43444)], 4).
octal_div([train(9313)], [train(22652)], 0).
octal_div([train(9421)], [train(35642)], 6).
octal_div([train(54833)], [train(47227)], 0).
octal_div([train(4919)], [train(49982)], 1).
octal_div([train(59311)], [train(52003)], 1).
octal_div([train(40411)], [train(3113)], 6).
octal_div([train(56105)], [train(41889)], 1).
octal_div([train(21062)], [train(28513)], 7).
octal_div([train(53269)], [train(25324)], 2).
octal_div([train(48492)], [train(1675)], 2).
octal_div([train(22111)], [train(4902)], 0).
octal_div([train(13626)], [train(36442)], 10).
octal_div([train(7932)], [train(53266)], 0).
octal_div([train(5212)], [train(36525)], 3).
octal_div([train(49185)], [train(49106)], 0).
octal_div([train(21078)], [train(34758)], 0).
octal_div([train(40948)], [train(7876)], 2).
octal_div([train(373)], [train(26960)], 4).
octal_div([train(46812)], [train(31582)], 0).
octal_div([train(14338)], [train(9585)], 2).
octal_div([train(713)], [train(19210)], 1).
octal_div([train(48791)], [train(56331)], 0).
